bps,pum,nama
8205,82.03,Halmahera Utara
8206,82.06,Halmahera Timur
8207,82.07,Pulau Morotai
8208,82.08,Pulau Taliabu
8271,82.71,Ternate
8272,82.72,Tidore Kepulauan
9101,92.03,Fakfak
9102,92.08,Kaimana
9103,92.07,Teluk Wondama
9104,92.06,Teluk Bintuni
9105,92.02,Manokwari
9106,96.02,Sorong Selatan
9107,96.01,Sorong
9108,96.03,Raja Ampat
9109,96.04,Tambrauw
9110,96.05,Maybrat
9111,92.11,Manokwari Selatan
9112,92.12,Pegunungan Arfak
9171,96.71,Sorong
