kode_pum,kode_bps,nama
12.12.03,1206060,Silaen
12.12.19,1206061,Sigumpar
12.12.07,1206070,Porsea
12.12.05,1206071,Pintu Pohan Meranti
12.12.20,1206072,Siantar Narumonda
12.12.24,1206073,Parmaksian
12.12.09,1206080,Lumban Julu
12.12.10,1206081,Uluan
12.12.08,1206082,Ajibata
12.12.23,1206083,Bonatua Lunasi
12.10.09,1207050,Bilah Hulu
12.10.14,1207070,Pangkatan
12.10.07,1207080,Bilah Barat
12.10.08,1207130,Bilah Hilir
12.10.20,1207140,Panai Hulu
12.10.18,1207150,Panai Tengah
12.10.19,1207160,Panai Hilir
12.10.02,1207210,Rantau Selatan
12.10.01,1207220,Rantau Utara
12.09.17,1208010,Bandar Pasir Mandoge
12.09.15,1208020,Bandar Pulau
12.09.21,1208021,Aek Songsongan
12.09.22,1208022,Rahuning
12.09.14,1208030,Pulau Rakyat
12.09.18,1208031,Aek Kuasan
12.09.32,1208032,Aek Ledong
12.09.11,1208040,Sei Kepayang
12.09.24,1208041,Sei Kepayang Barat
12.09.25,1208042,Sei Kepayang Timur
12.09.10,1208050,Tanjung Balai
12.09.12,1208060,Simpang Empat
12.09.31,1208061,Teluk Dalam
12.09.13,1208070,Air Batu
12.09.23,1208071,Sei Dadap
12.09.16,1208080,Buntu Pane
12.09.26,1208081,Tinggi Raja
12.09.27,1208082,Setia Janji
12.09.08,1208090,Meranti
12.09.30,1208091,Pulo Bandring
12.09.29,1208092,Rawang Panca Arga
12.09.09,1208100,Air Joman
12.09.28,1208101,Silau Laut
12.09.19,1208160,Kota Kisaran Barat
12.09.20,1208170,Kota Kisaran Timur
12.08.25,1209010,Silimakuta
12.08.31,1209011,Pamatang Silima Huta
12.08.14,1209020,Purba
12.08.15,1209021,Haranggaol Horisan
12.08.20,1209030,Dolok Pardamean
12.08.09,1209040,Sidamanik
12.08.10,1209041,Pamatang Sidamanik
12.08.16,1209050,Girsang Sipangan Bolon
12.08.11,1209060,Tanah Jawa
12.08.12,1209061,Hatonduhan
12.08.13,1209070,Dolok Panribuan
12.08.06,1209080,Jorlang Hataran
12.08.04,1209090,Panei
12.08.05,1209091,Panombeian Panei
12.08.29,1209100,Raya
12.08.32,1209101,Dolog Masagal
12.08.26,1209110,Dolok Silao
12.08.27,1209120,Silou Kahean
12.08.07,1209130,Raya Kahean
12.08.28,1209140,Tapian Dolok
12.08.17,1209150,Dolok Batu Nanggar
12.08.01,1209160,Siantar
12.08.02,1209161,Gunung Malela
12.08.03,1209162,Gunung Maligas
12.08.18,1209170,Hutabayu Raja
12.08.19,1209171,Jawa Maraja Bah Jambi
12.08.21,1209180,Pematang Bandar
12.08.22,1209181,Bandar Huluan
12.08.23,1209190,Bandar
12.08.24,1209191,Bandar Masilam
12.08.08,1209200,Bosar Maligas
12.08.30,1209210,Ujung Padang
12.11.01,1210030,Sidikalang
12.11.13,1210031,Berampu
12.11.15,1210032,Sitinjo
12.11.10,1210040,Parbuluan
12.11.02,1210050,Sumbul
12.11.14,1210051,Silahisabungan
12.11.05,1210060,Silima Pungga Pungga
12.11.11,1210061,Lae Parira
12.11.04,1210070,Siempat Nempu
12.11.07,1210080,Siempat Nempu Hulu
12.11.08,1210090,Siempat Nempu Hilir
12.11.03,1210100,Tigalingga
12.11.12,1210101,Gunung Sitember
12.11.09,1210110,Pegagan Hilir
12.11.06,1210120,Tanah Pinem
12.06.10,1211010,Mardingding
12.06.09,1211020,Laubaleng
12.06.08,1211030,Tigabinanga
12.06.07,1211040,Juhar
12.06.06,1211050,Munte
12.06.13,1211060,Kutabuluh
12.06.11,1211070,Payung
12.06.17,1211071,Tiganderket
12.06.12,1211080,Simpang Empat
12.06.16,1211081,Naman Teran
12.06.15,1211082,Merdeka
12.06.01,1211090,Kabanjahe
12.06.02,1211100,Berastagi
12.06.04,1211110,Tigapanah
12.06.14,1211111,Dolat Rayat
12.06.05,1211120,Merek
12.06.03,1211130,Barusjahe
12.07.01,1212010,Gunung Meriah
12.07.20,1212020,Sinembah Tanjung Muda Hulu
12.07.03,1212030,Sibolangit
12.07.04,1212040,Kutalimbaru
12.07.05,1212050,Pancur Batu
12.07.06,1212060,Namo Rambe
12.07.07,1212070,Biru-biru
12.07.08,1212080,Sinembah Tanjung Muda Hilir
12.07.09,1212090,Bangun Purba
12.07.19,1212190,Galang
12.07.02,1212200,Tanjung Morawa
12.07.21,1212210,Patumbak
12.07.22,1212220,Deli Tua
12.07.23,1212230,Sunggal
12.07.24,1212240,Hamparan Perak
12.07.25,1212250,Labuhan Deli
12.07.26,1212260,Percut Sei Tuan
12.07.27,1212270,Batang Kuis
12.07.32,1212280,Pantai Labu
12.07.33,1212290,Beringin
12.07.28,1212300,Lubuk Pakam
12.07.31,1212310,Pagar Merbau
12.05.01,1213010,Bahorok
12.05.21,1213011,Sirapit
12.05.02,1213020,Salapian
12.05.22,1213021,Kutambaru
12.05.04,1213030,Sei Bingai
12.05.03,1213040,Kuala
12.05.06,1213050,Selesai
12.05.05,1213060,Binjai
12.05.07,1213070,Stabat
12.05.08,1213080,Wampu
12.05.19,1213090,Batang Serangan
12.05.20,1213100,Sawit Seberang
12.05.12,1213110,Padang Tualang
12.05.10,1213120,Hinai
12.05.09,1213130,Secanggang
12.05.11,1213140,Tanjung Pura
12.05.13,1213150,Gebang
12.05.14,1213160,Babalan
12.05.17,1213170,Sei Lepan
12.05.18,1213180,Berandan Barat
