kode_pum,kode_bps,nama
11.10.11.2005,1102032005,Biskang
11.10.11.2004,1102032006,Situbuh-tubuh
11.10.12.2009,1102033001,Mandumpang
11.10.12.2005,1102033002,Alur Linci
11.10.12.2010,1102033003,Sirimo Mungkur
11.10.12.2008,1102033004,Keras
11.10.12.2007,1102033005,Ketangkuhan
11.10.12.2006,1102033006,Siompin
11.10.12.2011,1102033007,Bulu Ara
11.10.12.2004,1102033008,Lae Bangun
11.10.12.2003,1102033009,Bulu Sema
11.10.12.2002,1102033010,Pangkalan Sulampi
11.10.12.2001,1102033011,Suro Makmur
11.10.13.2006,1102042001,Sri Kayu
11.10.13.2007,1102042002,Pea Jambu
11.10.13.2003,1102042003,Lae Pinang
11.10.13.2001,1102042004,Singkohor
11.10.13.2004,1102042006,Mukti Jaya
11.10.13.2002,1102042007,Lae Sipola
11.10.09.2006,1102043001,Muara Pea
11.10.09.2008,1102043002,Sumber Mukti
11.10.09.2005,1102043003,Ladang Bisik
11.10.09.2004,1102043004,Samar Dua
11.10.09.2003,1102043005,Butar
11.10.09.2009,1102043006,Mukti Lincer
11.10.09.2002,1102043007,Lapahan Buaya
11.10.09.2001,1102043008,Lentong
11.10.09.2010,1102043009,Danau Bungara
11.01.09.2012,1103010001,Kuta Padang
11.01.09.2013,1103010002,Raket
11.01.09.2014,1103010003,Gampong Teungoh
11.01.09.2005,1103010004,Teupin Tinggi
11.01.09.2004,1103010005,Ie Meudama
11.01.09.2002,1103010009,Ujong Tanoh
11.01.09.2001,1103010010,Keude Trumon
11.01.09.2006,1103010011,Kuta Baro
11.01.09.2003,1103010012,Sigleng
11.01.09.2007,1103010013,Panton Bilie
11.01.09.2016,1103010027,Padang Harapan
11.01.09.2015,1103010030,Seuneubok Jaya
11.01.16.2012,1103011001,Titi Poben
11.01.16.2011,1103011002,Alur Bujok
11.01.16.2009,1103011003,Seuneubok Punto
11.01.16.2005,1103011008,Pinto Rimba
11.01.16.2006,1103011009,Krueng Luas
11.01.16.2007,1103011010,Jambo Dalem
11.01.16.2008,1103011011,Kapa Sesak
11.01.16.2010,1103011012,Seuneubok Pusaka
11.01.18.2010,1103012001,Lhok Raya
11.01.18.2009,1103012002,Ie Jeureuneh
11.01.18.2008,1103012003,Naca
11.01.18.2007,1103012004,Cot Bayu
11.01.18.2006,1103012005,Jambo Papeun
11.01.18.2001,1103012006,Ladang Rimba
11.01.18.2005,1103012007,Pulo Paya
11.01.18.2004,1103012008,Krueng Batee
11.01.18.2003,1103012009,Kampong Teungoh
11.01.18.2002,1103012010,Gunong Kapho
11.01.01.2002,1103020001,Ujong Mangki
11.01.01.2001,1103020002,Keude Bakongan
11.01.01.2017,1103020003,Gampong Baro
11.01.01.2003,1103020014,Ujong Padang
11.01.01.2004,1103020015,Gampong Drien
