kode_pum,kode_bps,nama,file_logo
18.13,1813,Pesisir Barat,kab-h250px-1813.jpg
18.71,1871,Bandar Lampung,kab-h250px-1871.jpg
18.72,1872,Metro,kab-h250px-1872.jpg
19.01,1901,Bangka,kab-h250px-1901.jpg
19.02,1902,Belitung,kab-h250px-1902.jpg
19.03,1905,Bangka Selatan,kab-h250px-1903.jpg
19.04,1904,Bangka Tengah,kab-h250px-1904.jpg
19.05,1903,Bangka Barat,kab-h250px-1905.jpg
19.06,1906,Belitung Timur,kab-h250px-1906.jpg
19.71,1971,Pangkal Pinang,kab-h250px-1971.jpg
21.01,2102,Bintan,kab-h250px-2101.jpg
21.02,2101,Karimun,kab-h250px-2102.jpg
21.03,2103,Natuna,kab-h250px-2103.jpg
21.04,2104,Lingga,kab-h250px-2104.jpg
21.05,2105,Kepulauan Anambas,kab-h250px-2105.jpg
21.71,2171,Batam,kab-h250px-2171.jpg
21.72,2172,Tanjung Pinang,kab-h250px-2172.jpg
31.01,3101,Kepulauan Seribu,kab-h250px-3101.jpg
31.71,3173,Jakarta Pusat,kab-h250px-3171.jpg
31.72,3175,Jakarta Utara,kab-h250px-3172.jpg
31.73,3174,Jakarta Barat,kab-h250px-3173.jpg
31.74,3171,Jakarta Selatan,kab-h250px-3174.jpg
31.75,3172,Jakarta Timur,kab-h250px-3175.jpg
32.01,3201,Bogor,kab-h250px-3201.jpg
32.02,3202,Sukabumi,kab-h250px-3202.jpg
32.03,3203,Cianjur,kab-h250px-3203.jpg
32.04,3204,Bandung,kab-h250px-3204.jpg
32.05,3205,Garut,kab-h250px-3205.jpg
32.06,3206,Tasikmalaya,kab-h250px-3206.jpg
32.07,3207,Ciamis,kab-h250px-3207.jpg
32.08,3208,Kuningan,kab-h250px-3208.jpg
32.09,3209,Cirebon,kab-h250px-3209.jpg
32.10,3210,Majalengka,kab-h250px-3210.jpg
32.11,3211,Sumedang,kab-h250px-3211.jpg
32.12,3212,Indramayu,kab-h250px-3212.jpg
32.13,3213,Subang,kab-h250px-3213.jpg
32.14,3214,Purwakarta,kab-h250px-3214.jpg
