kode_pum,kode_bps,nama,file_logo
95.01,9702,Jayawijaya,kab-h250px-9501.jpg
95.02,9708,Pegunungan Bintang,kab-h250px-9502.jpg
95.03,9707,Yahukimo,kab-h250px-9503.jpg
95.04,9704,Tolikara,kab-h250px-9504.jpg
95.05,9705,Mamberamo Tengah,kab-h250px-9505.jpg
95.06,9706,Yalimo,kab-h250px-9506.jpg
95.07,9703,Lanny Jaya,kab-h250px-9507.jpg
95.08,9701,Nduga,kab-h250px-9508.jpg
96.01,9202,Sorong,kab-h250px-9601.png
96.02,9203,Sorong Selatan,kab-h250px-9602.jpg
96.03,9201,Raja Ampat,kab-h250px-9603.jpg
96.04,9205,Tambrauw,kab-h250px-9604.jpg
96.05,9204,Maybrat,kab-h250px-9605.jpg
96.71,9271,Kota Sorong,kab-h250px-9671.jpg
